Entity	QRank	building	buildingLabel	no_elevator
Q3533079	2401	http://www.wikidata.org/entity/Q3533079	Tour Exaltis	10
Q7013709	2266	http://www.wikidata.org/entity/Q7013709	New York Life Building	5
Q1776870	2107	http://www.wikidata.org/entity/Q1776870	Strabag office building	8
Q2107000	2006	http://www.wikidata.org/entity/Q2107000	Power Tower	6
Q17003995	2005	http://www.wikidata.org/entity/Q17003995	The Oregonian Building	2
Q3533212	1903	http://www.wikidata.org/entity/Q3533212	Tour Voltaire	17
Q5265931	1789	http://www.wikidata.org/entity/Q5265931	Detroit Free Press Building	8
Q5366428	1682	http://www.wikidata.org/entity/Q5366428	Elmbank Gardens	3
Q11102554	1666	http://www.wikidata.org/entity/Q11102554	Raffles City Hangzhou	30
Q4552053	1573	http://www.wikidata.org/entity/Q4552053	16 East Broad Street	3
Q1740348	1512	http://www.wikidata.org/entity/Q1740348	Keystone Building	16
Q4631222	1406	http://www.wikidata.org/entity/Q4631222	222 Main	10
Q3533054	1360	http://www.wikidata.org/entity/Q3533054	Tour Emblem	7
Q1808972	1194	http://www.wikidata.org/entity/Q1808972	Bastion Tower	9
Q4744161	1167	http://www.wikidata.org/entity/Q4744161	American Insurance Company Building	9
Q4552294	1121	http://www.wikidata.org/entity/Q4552294	1700 Market	18
Q5164588	1004	http://www.wikidata.org/entity/Q5164588	Consultancy House	2
Q16893839	976	http://www.wikidata.org/entity/Q16893839	La Laurentienne Building	16
Q4632384	964	http://www.wikidata.org/entity/Q4632384	26 Journal Square	3
Q5818193	941	http://www.wikidata.org/entity/Q5818193	Q5818193	4
Q4547785	932	http://www.wikidata.org/entity/Q4547785	11 Westferry Circus	4
Q36784853	910	http://www.wikidata.org/entity/Q36784853	Spectrum	5
Q17029407	876	http://www.wikidata.org/entity/Q17029407	Valley National Bank Building	2
Q38252040	788	http://www.wikidata.org/entity/Q38252040	Pacific Building	5
Q14680637	763	http://www.wikidata.org/entity/Q14680637	Orpheum Lofts	3
Q1306479	725	http://www.wikidata.org/entity/Q1306479	Haus der Werbung	3
Q22024776	645	http://www.wikidata.org/entity/Q22024776	Phenix Building	5
Q23926640	549	http://www.wikidata.org/entity/Q23926640	200 Market	6
Q23074306	385	http://www.wikidata.org/entity/Q23074306	SunTrust Plaza	12
Q233752	110	http://www.wikidata.org/entity/Q233752	42 Broadway	12
Q110534849	46	http://www.wikidata.org/entity/Q110534849	Chusanren New Building	2
Q123523616	30	http://www.wikidata.org/entity/Q123523616	Ebisu Subaru Building	8
Q123333717	21	http://www.wikidata.org/entity/Q123333717	Shiroyama Trust Tower	18
Q114403395	13	http://www.wikidata.org/entity/Q114403395	Nissay Hirokoji Building	2
