Entity	QRank	element	elementSymbol	atomicNo	elementLabel
Q1901	207144	http://www.wikidata.org/entity/Q1901	No	102	nobelium
Q1838	203850	http://www.wikidata.org/entity/Q1838	Tb	65	terbium
Q1232	198585	http://www.wikidata.org/entity/Q1232	Db	105	dubnium
Q1252	195462	http://www.wikidata.org/entity/Q1252	Hs	108	hassium
Q1898	184809	http://www.wikidata.org/entity/Q1898	Md	101	mendelevium
Q1249	174889	http://www.wikidata.org/entity/Q1249	Bh	107	bohrium
Q1882	174301	http://www.wikidata.org/entity/Q1882	Bk	97	berkelium
Q1146	168714	http://www.wikidata.org/entity/Q1146	Ubn	120	unbinilium
Q1466	107208	http://www.wikidata.org/entity/Q1466	Ubu	121	unbiunium
Q7425	83499	http://www.wikidata.org/entity/Q7425	Ubb	122	unbibium
Q54377	73304	http://www.wikidata.org/entity/Q54377	Ubh	126	unbihexium
Q428758	60483	http://www.wikidata.org/entity/Q428758	Ubt	123	unbitrium
Q428741	40352	http://www.wikidata.org/entity/Q428741	Ubq	124	unbiquadium
Q428692	35539	http://www.wikidata.org/entity/Q428692	Ubs	127	unbiseptium
Q428685	27356	http://www.wikidata.org/entity/Q428685	Ubp	125	unbipentium
Q1366419	21352	http://www.wikidata.org/entity/Q1366419	Uts	137	untriseptium
Q11289368	20759	http://www.wikidata.org/entity/Q11289368	Ust	173	unsepttrium
Q428703	12311	http://www.wikidata.org/entity/Q428703	Ubo	128	unbioctium
Q3551927	11180	http://www.wikidata.org/entity/Q3551927	Uqb	142	unquadbium
Q428640	9609	http://www.wikidata.org/entity/Q428640	Ube	129	unbiennium
Q428648	9189	http://www.wikidata.org/entity/Q428648	Utn	130	untrinilium
Q16307164	6310	http://www.wikidata.org/entity/Q16307164	Usb	172	unseptbium
Q428635	5843	http://www.wikidata.org/entity/Q428635	Utb	132	untribium
Q428629	3660	http://www.wikidata.org/entity/Q428629	Utu	131	untriunium
Q548592	3294	http://www.wikidata.org/entity/Q548592	Ute	139	untriennium
Q3029913	3279	http://www.wikidata.org/entity/Q3029913	Uqn	140	unquadnilium
Q3551933	3215	http://www.wikidata.org/entity/Q3551933	Uqt	143	unquadtrium
Q869681	3033	http://www.wikidata.org/entity/Q869681	Uto	138	untrioctium
Q3551935	3027	http://www.wikidata.org/entity/Q3551935	Uqu	141	unquadunium
Q3552038	2579	http://www.wikidata.org/entity/Q3552038	Utp	135	untripentium
Q3552040	2516	http://www.wikidata.org/entity/Q3552040	Utq	134	untriquadium
Q868375	2262	http://www.wikidata.org/entity/Q868375	Uth	136	untrihexium
Q3552041	2212	http://www.wikidata.org/entity/Q3552041	Utt	133	untritrium
Q30929350	1641	http://www.wikidata.org/entity/Q30929350	Uhq	164	unhexquadium
Q16307168	1243	http://www.wikidata.org/entity/Q16307168	Uho	168	unhexoctium
Q3551931	1057	http://www.wikidata.org/entity/Q3551931	Uqq	144	unquadquadium
Q3551921	856	http://www.wikidata.org/entity/Q3551921	Upu	151	unpentunium
Q3551924	727	http://www.wikidata.org/entity/Q3551924	Upt	153	unpenttrium
Q16307178	701	http://www.wikidata.org/entity/Q16307178	Uhp	165	unhexpentium
Q22314315	622	http://www.wikidata.org/entity/Q22314315	Upp	155	unpentpentium
Q19599218	533	http://www.wikidata.org/entity/Q19599218	Uhe	169	unhexennium
Q3551928	519	http://www.wikidata.org/entity/Q3551928	Uqo	148	unquadoctium
Q3551930	506	http://www.wikidata.org/entity/Q3551930	Uqp	145	unquadpentium
Q116976565	505	http://www.wikidata.org/entity/Q116976565	Uoq	184	unoctquadium
Q16307173	498	http://www.wikidata.org/entity/Q16307173	Uhs	167	unhexseptium
Q2399140	444	http://www.wikidata.org/entity/Q2399140	Uqe	149	unquadennium
Q3551919	435	http://www.wikidata.org/entity/Q3551919	Upn	150	unpentnilium
Q3551926	428	http://www.wikidata.org/entity/Q3551926	Uqh	146	unquadhexium
Q3551918	415	http://www.wikidata.org/entity/Q3551918	Upb	152	unpentbium
Q3551929	398	http://www.wikidata.org/entity/Q3551929	Uqs	147	unquadseptium
Q22313918	322	http://www.wikidata.org/entity/Q22313918	Upq	154	unpentquadium
Q113084043	67	http://www.wikidata.org/entity/Q113084043	Uhh	166	unhexhexium
Q91655999	40	http://www.wikidata.org/entity/Q91655999	Uhn	160	unhexnilium
Q120034935	23	http://www.wikidata.org/entity/Q120034935	Uus	117	ununseptium
