Entity	QRank	person	personLabel	dob
Q6308903	427948	http://www.wikidata.org/entity/Q6308903	Juliet Rylance	1979.0
Q1320512	424795	http://www.wikidata.org/entity/Q1320512	Freddie Stroma	1987.0
Q2846695	424677	http://www.wikidata.org/entity/Q2846695	Andrew Y. Ng	1976.0
Q2345785	424254	http://www.wikidata.org/entity/Q2345785	Tina Barrett	1976.0
Q1276942	420997	http://www.wikidata.org/entity/Q1276942	Eamonn Walker	1962.0
Q289252	420142	http://www.wikidata.org/entity/Q289252	Gregg Sulkin	1992.0
Q468600	419867	http://www.wikidata.org/entity/Q468600	Sandrine Holt	1972.0
Q186748	417962	http://www.wikidata.org/entity/Q186748	Dante Gabriel Rossetti	1828.0
Q18922733	415150	http://www.wikidata.org/entity/Q18922733	Jacob Scipio	1993.0
Q315811	415136	http://www.wikidata.org/entity/Q315811	Steve Hackett	1950.0
Q530344	413437	http://www.wikidata.org/entity/Q530344	Anna Shaffer	1992.0
Q6250419	411728	http://www.wikidata.org/entity/Q6250419	Nicholas Elliott	1916.0
Q108373707	410548	http://www.wikidata.org/entity/Q108373707	Omid Scobie	1981.0
Q243049	409900	http://www.wikidata.org/entity/Q243049	Marie-Chantal, Crown Princess of Greece	1968.0
Q4885648	408420	http://www.wikidata.org/entity/Q4885648	Ben Fogle	1973.0
Q297548	408260	http://www.wikidata.org/entity/Q297548	Jeanette	1951.0
Q371406	407126	http://www.wikidata.org/entity/Q371406	John Bingham, 7th Earl of Lucan	1934.0
Q4706436	406342	http://www.wikidata.org/entity/Q4706436	Alan Cox	1970.0
Q234421	406326	http://www.wikidata.org/entity/Q234421	Mary Read	1685.0
Q928719	405961	http://www.wikidata.org/entity/Q928719	Henry, Duke of Cornwall	1511.0
Q259379	405673	http://www.wikidata.org/entity/Q259379	Anoushka Shankar	1981.0
Q1418471	404914	http://www.wikidata.org/entity/Q1418471	Finty Williams	1972.0
Q2878916	403959	http://www.wikidata.org/entity/Q2878916	Joe Armstrong	1978.0
Q26973027	403099	http://www.wikidata.org/entity/Q26973027	Anton Walkes	1997.0
Q181991	399148	http://www.wikidata.org/entity/Q181991	Jools Holland	1956.0
Q299204	398470	http://www.wikidata.org/entity/Q299204	Emperor Norton	1811.0
Q923868	398159	http://www.wikidata.org/entity/Q923868	Toby Regbo	1991.0
Q256402	396848	http://www.wikidata.org/entity/Q256402	Jodhi May	1975.0
Q14956941	396456	http://www.wikidata.org/entity/Q14956941	Bertie Carvel	1977.0
Q1398367	395807	http://www.wikidata.org/entity/Q1398367	Alex Winter	1965.0
Q554670	395525	http://www.wikidata.org/entity/Q554670	Gary Kemp	1959.0
Q5932695	395347	http://www.wikidata.org/entity/Q5932695	Hugh Skinner	1985.0
Q468241	394422	http://www.wikidata.org/entity/Q468241	Omid Djalili	1965.0
Q4767265	393464	http://www.wikidata.org/entity/Q4767265	Anna Madeley	1976.0
Q815126	391389	http://www.wikidata.org/entity/Q815126	Alexander, Crown Prince of Yugoslavia	1945.0
Q55237904	390981	http://www.wikidata.org/entity/Q55237904	Jinny	1989.0
Q292993	390865	http://www.wikidata.org/entity/Q292993	Tulisa Contostavlos	1988.0
Q19874464	390530	http://www.wikidata.org/entity/Q19874464	Rashid Buttar	1966.0
Q2276884	390038	http://www.wikidata.org/entity/Q2276884	Samantha Ronson	1977.0
Q7176746	386069	http://www.wikidata.org/entity/Q7176746	Peter Safran	1965.0
Q984061	385215	http://www.wikidata.org/entity/Q984061	Sam Houser	1971.0
Q59896	384596	http://www.wikidata.org/entity/Q59896	E. L. James	1963.0
Q22997568	384040	http://www.wikidata.org/entity/Q22997568	Lottie Moss	1998.0
Q13100685	382936	http://www.wikidata.org/entity/Q13100685	Cynthia Addai-Robinson	1985.0
Q201976	381183	http://www.wikidata.org/entity/Q201976	Caroline Goodall	1959.0
Q229356	380873	http://www.wikidata.org/entity/Q229356	Sandie Shaw	1947.0
Q451075	377762	http://www.wikidata.org/entity/Q451075	Albert Hammond	1944.0
Q464914	377611	http://www.wikidata.org/entity/Q464914	Gayatri Devi	1919.0
Q530220	377007	http://www.wikidata.org/entity/Q530220	Frank Bruno	1961.0
Q4105717	376691	http://www.wikidata.org/entity/Q4105717	Mary Ann Bevan	1874.0
Q57668	376451	http://www.wikidata.org/entity/Q57668	Caroline Matilda of Great Britain	1751.0
Q562084	376121	http://www.wikidata.org/entity/Q562084	Mark Sheppard	1964.0
Q111627959	374833	http://www.wikidata.org/entity/Q111627959	Jamie Bynoe-Gittens	2004.0
Q46172	373607	http://www.wikidata.org/entity/Q46172	Denis Thatcher	1915.0
Q4118911	372307	http://www.wikidata.org/entity/Q4118911	Lee Murray	1977.0
Q16215920	371868	http://www.wikidata.org/entity/Q16215920	Neil Maskell	1976.0
Q573709	371473	http://www.wikidata.org/entity/Q573709	Anthony Newley	1931.0
Q2701386	368958	http://www.wikidata.org/entity/Q2701386	Danny John-Jules	1960.0
Q520346	365632	http://www.wikidata.org/entity/Q520346	Atticus Ross	1968.0
Q911462	364293	http://www.wikidata.org/entity/Q911462	Luke Goss	1968.0
Q133760	363942	http://www.wikidata.org/entity/Q133760	Jordan Spence	1990.0
Q58008052	363688	http://www.wikidata.org/entity/Q58008052	Sian Clifford	1985.0
