Entity	QRank	species	speciesLabel	unit	unitLabel	maxMass
Q192029	585079	http://www.wikidata.org/entity/Q192029	proboscis monkey	http://www.wikidata.org/entity/Q41803	gram	455.0
Q186778	582213	http://www.wikidata.org/entity/Q186778	aye-aye	http://www.wikidata.org/entity/Q11570	gram	2500.0
Q83774	574371	http://www.wikidata.org/entity/Q83774	giant otter	http://www.wikidata.org/entity/Q11570	gram	29000.0
Q116667	573830	http://www.wikidata.org/entity/Q116667	Common Myna	http://www.wikidata.org/entity/Q41803	gram	7.1
Q95036	572806	http://www.wikidata.org/entity/Q95036	Diceros bicornis	http://www.wikidata.org/entity/Q11570	gram	36000.0
Q185385	572288	http://www.wikidata.org/entity/Q185385	ring-tailed lemur	http://www.wikidata.org/entity/Q41803	gram	60.0
Q187943	566955	http://www.wikidata.org/entity/Q187943	pronghorn	http://www.wikidata.org/entity/Q11570	gram	3500.0
Q331213	538615	http://www.wikidata.org/entity/Q331213	Tokay gecko	http://www.wikidata.org/entity/Q41803	gram	60.0
Q190516	524899	http://www.wikidata.org/entity/Q190516	sika deer	http://www.wikidata.org/entity/Q11570	gram	5750.0
Q26657	515713	http://www.wikidata.org/entity/Q26657	Goldcrest	http://www.wikidata.org/entity/Q41803	gram	0.77
Q184774	512155	http://www.wikidata.org/entity/Q184774	Red Junglefowl	http://www.wikidata.org/entity/Q41803	gram	844.0
Q309274	507630	http://www.wikidata.org/entity/Q309274	Rusty-spotted cat	http://www.wikidata.org/entity/Q11570	gram	1500.0
Q177856	505209	http://www.wikidata.org/entity/Q177856	Indian Vulture	http://www.wikidata.org/entity/Q11570	gram	8328.0
Q206630	502402	http://www.wikidata.org/entity/Q206630	Ortolan Bunting	http://www.wikidata.org/entity/Q41803	gram	2.48
Q147267	493583	http://www.wikidata.org/entity/Q147267	Virginia opossum	http://www.wikidata.org/entity/Q41803	gram	0.16
Q460967	493404	http://www.wikidata.org/entity/Q460967	American Robin	http://www.wikidata.org/entity/Q41803	gram	77.3
Q457267	487835	http://www.wikidata.org/entity/Q457267	blue-footed booby	http://www.wikidata.org/entity/Q11570	gram	1801.0
Q340041	487351	http://www.wikidata.org/entity/Q340041	Dacelo	http://www.wikidata.org/entity/Q41803	gram	300.0
Q192524	486820	http://www.wikidata.org/entity/Q192524	Atlantic Canary	http://www.wikidata.org/entity/Q41803	gram	15.3
Q214633	472919	http://www.wikidata.org/entity/Q214633	Djungarian hamster	http://www.wikidata.org/entity/Q41803	gram	2.4
Q251842	470654	http://www.wikidata.org/entity/Q251842	Helmeted Guineafowl	http://www.wikidata.org/entity/Q11570	gram	1587.0
Q191781	454498	http://www.wikidata.org/entity/Q191781	Japanese macaque	http://www.wikidata.org/entity/Q11570	gram	14000.0
Q468500	447534	http://www.wikidata.org/entity/Q468500	Eastern gray squirrel	http://www.wikidata.org/entity/Q41803	gram	15.5
Q25882	440402	http://www.wikidata.org/entity/Q25882	Greylag Goose	http://www.wikidata.org/entity/Q11570	gram	3692.0
Q171655	439682	http://www.wikidata.org/entity/Q171655	Great Bustard	http://www.wikidata.org/entity/Q41803	gram	143.0
Q194314	438642	http://www.wikidata.org/entity/Q194314	California condor	http://www.wikidata.org/entity/Q11570	gram	8450.0
Q25777	437560	http://www.wikidata.org/entity/Q25777	Fieldfare	http://www.wikidata.org/entity/Q41803	gram	105.0
Q27075864	435453	http://www.wikidata.org/entity/Q27075864	Eurasian Siskin	http://www.wikidata.org/entity/Q41803	gram	13.8
Q25392	430208	http://www.wikidata.org/entity/Q25392	Northern Lapwing	http://www.wikidata.org/entity/Q41803	gram	25.5
Q213084	424775	http://www.wikidata.org/entity/Q213084	springbok	http://www.wikidata.org/entity/Q11570	gram	41000.0
Q170718	411487	http://www.wikidata.org/entity/Q170718	European Bee-eater	http://www.wikidata.org/entity/Q41803	gram	6.5
Q25422	403103	http://www.wikidata.org/entity/Q25422	Great Crested Grebe	http://www.wikidata.org/entity/Q41803	gram	920.0
Q192044	401510	http://www.wikidata.org/entity/Q192044	Greater Rhea	http://www.wikidata.org/entity/Q41803	gram	600.0
Q26205	400084	http://www.wikidata.org/entity/Q26205	Yellowhammer	http://www.wikidata.org/entity/Q41803	gram	2.94
Q143284	399460	http://www.wikidata.org/entity/Q143284	Black Woodpecker	http://www.wikidata.org/entity/Q41803	gram	11.8
Q182209	399089	http://www.wikidata.org/entity/Q182209	King Penguin	http://www.wikidata.org/entity/Q11570	gram	12800.0
Q269896	395059	http://www.wikidata.org/entity/Q269896	Steller’s Sea Eagle	http://www.wikidata.org/entity/Q11570	gram	7900.0
Q155878	390871	http://www.wikidata.org/entity/Q155878	Black Grouse	http://www.wikidata.org/entity/Q11570	gram	1175.0
Q205930	390681	http://www.wikidata.org/entity/Q205930	Rock Ptarmigan	http://www.wikidata.org/entity/Q41803	gram	665.0
Q148595	389638	http://www.wikidata.org/entity/Q148595	Sand lizard	http://www.wikidata.org/entity/Q41803	gram	11.0
Q168514	387490	http://www.wikidata.org/entity/Q168514	European Turtle Dove	http://www.wikidata.org/entity/Q41803	gram	136.0
Q193337	386627	http://www.wikidata.org/entity/Q193337	kea	http://www.wikidata.org/entity/Q41803	gram	956.0
Q25634	384877	http://www.wikidata.org/entity/Q25634	Black-headed Gull	http://www.wikidata.org/entity/Q41803	gram	294.0
Q126216	380778	http://www.wikidata.org/entity/Q126216	Black-crowned Night Heron	http://www.wikidata.org/entity/Q41803	gram	682.0
Q599672	380622	http://www.wikidata.org/entity/Q599672	Bornean orangutan	http://www.wikidata.org/entity/Q11570	gram	1730.0
Q131044	379775	http://www.wikidata.org/entity/Q131044	Black Swan	http://www.wikidata.org/entity/Q11570	gram	6200.0
Q26423	379629	http://www.wikidata.org/entity/Q26423	Martes zibellina	http://www.wikidata.org/entity/Q41803	gram	27.5
Q185295	376537	http://www.wikidata.org/entity/Q185295	Aardwolf	http://www.wikidata.org/entity/Q11570	gram	10000.0
Q191096	375705	http://www.wikidata.org/entity/Q191096	Coal Tit	http://www.wikidata.org/entity/Q41803	gram	1.04
Q18847	375344	http://www.wikidata.org/entity/Q18847	Common Moorhen	http://www.wikidata.org/entity/Q41803	gram	348.0
Q833503	369511	http://www.wikidata.org/entity/Q833503	Chinook salmon	http://www.wikidata.org/entity/Q11570	gram	61400.0
Q191737	368874	http://www.wikidata.org/entity/Q191737	Speothos venaticus	http://www.wikidata.org/entity/Q11570	gram	5500.0
Q632701	366865	http://www.wikidata.org/entity/Q632701	Bassariscus astutus	http://www.wikidata.org/entity/Q41803	gram	985.0
Q26114	363984	http://www.wikidata.org/entity/Q26114	Eurasian Woodcock	http://www.wikidata.org/entity/Q41803	gram	24.5
Q208682	362635	http://www.wikidata.org/entity/Q208682	Wandering Albatross	http://www.wikidata.org/entity/Q11570	gram	9110.0
Q26675	356615	http://www.wikidata.org/entity/Q26675	Northern Gannet	http://www.wikidata.org/entity/Q11570	gram	2999.0
Q271807	353809	http://www.wikidata.org/entity/Q271807	European Serin	http://www.wikidata.org/entity/Q41803	gram	1.21
Q27075852	353647	http://www.wikidata.org/entity/Q27075852	Common Linnet	http://www.wikidata.org/entity/Q41803	gram	19.0
