Entity	QRank	island	islandLabel	No_islandArea	unitLabel
Q134905	247959	http://www.wikidata.org/entity/Q134905	K'gari	1840000000.0	square metre
Q13288	247262	http://www.wikidata.org/entity/Q13288	Korčula	279000000.0	square metre
Q373767	247111	http://www.wikidata.org/entity/Q373767	Pheasant Island	6820.0	square metre
Q239276	247049	http://www.wikidata.org/entity/Q239276	Öland	1347000000.0	square metre
Q104784	245375	http://www.wikidata.org/entity/Q104784	Lord Howe Island	14600000.0	square metre
Q1336091	244353	http://www.wikidata.org/entity/Q1336091	Sable Island	34000000.0	square metre
Q212096	243229	http://www.wikidata.org/entity/Q212096	Kastellorizo	9113000.0	square metre
Q174054	242825	http://www.wikidata.org/entity/Q174054	Isola Bella	200000.0	square metre
Q975080	239810	http://www.wikidata.org/entity/Q975080	Porquerolles	12540000.0	square metre
Q1191120	237713	http://www.wikidata.org/entity/Q1191120	Hachijō-jima	69110000.0	square metre
Q2486	236530	http://www.wikidata.org/entity/Q2486	Tarawa	31020000.0	square metre
Q615578	234182	http://www.wikidata.org/entity/Q615578	Aogashima	5960000.0	square metre
Q914225	232019	http://www.wikidata.org/entity/Q914225	Inaccessible Island	14000000.0	square metre
Q207193	231560	http://www.wikidata.org/entity/Q207193	Skellig Michael	219000.0	square metre
Q996782	231529	http://www.wikidata.org/entity/Q996782	Favignana	19800000.0	square metre
Q1292442	231468	http://www.wikidata.org/entity/Q1292442	Suomenlinna	26410000.0	square metre
Q1190547	231305	http://www.wikidata.org/entity/Q1190547	Governors Island	696000.0	square metre
Q998623	230541	http://www.wikidata.org/entity/Q998623	Sado Island	854760000.0	square metre
Q815838	230151	http://www.wikidata.org/entity/Q815838	Belle Île	87000000.0	square metre
Q2280814	230082	http://www.wikidata.org/entity/Q2280814	Siargao	416100000.0	square metre
Q714339	229662	http://www.wikidata.org/entity/Q714339	Ishigaki Island	222250000.0	square metre
Q631581	228121	http://www.wikidata.org/entity/Q631581	Achill Island	148000000.0	square metre
Q106357	228062	http://www.wikidata.org/entity/Q106357	Utøya	106000.0	square metre
Q607357	227947	http://www.wikidata.org/entity/Q607357	Mustique	5700000.0	square metre
Q1224996	227836	http://www.wikidata.org/entity/Q1224996	Little Diomede Island	7360000.0	square metre
Q292568	227363	http://www.wikidata.org/entity/Q292568	Oléron Island	174000000.0	square metre
Q34126	220934	http://www.wikidata.org/entity/Q34126	Funafuti	2400000.0	square metre
Q215081	218864	http://www.wikidata.org/entity/Q215081	Coco Island	23850000.0	square metre
Q204387	217373	http://www.wikidata.org/entity/Q204387	Kodiak Island	9311240355.587849	square metre
Q329422	217119	http://www.wikidata.org/entity/Q329422	Robinson Crusoe Island	47930000.0	square metre
Q178124	215778	http://www.wikidata.org/entity/Q178124	Surtsey	1410000.0	square metre
Q1325264	214804	http://www.wikidata.org/entity/Q1325264	Skorpios	878000.0	square metre
Q847285	214737	http://www.wikidata.org/entity/Q847285	Kunashir Island	1489270000.0	square metre
Q188489	214058	http://www.wikidata.org/entity/Q188489	Cape Breton Island	10311000000.0	square metre
Q211230	214013	http://www.wikidata.org/entity/Q211230	Syros	102365000.0	square metre
Q2882109	213570	http://www.wikidata.org/entity/Q2882109	Neira Island	3000000.0	square metre
Q695265	212556	http://www.wikidata.org/entity/Q695265	Hormuz Island	42000000.0	square metre
Q205022	212135	http://www.wikidata.org/entity/Q205022	Bioko	1935000000.0	square metre
Q215074	211688	http://www.wikidata.org/entity/Q215074	Terceira Island	396750000.0	square metre
Q958528	210314	http://www.wikidata.org/entity/Q958528	Big Diomede	29000000.0	square metre
Q737765	210197	http://www.wikidata.org/entity/Q737765	Grand Cayman	197000000.0	square metre
Q920763	209505	http://www.wikidata.org/entity/Q920763	Mors	368000000.0	square metre
Q719518	208591	http://www.wikidata.org/entity/Q719518	Paxos	25300000.0	square metre
Q1195273	208534	http://www.wikidata.org/entity/Q1195273	Bolshoy Ussuriysky Island	350000000.0	square metre
Q52439	208386	http://www.wikidata.org/entity/Q52439	Burano	210800.0	square metre
Q208134	208029	http://www.wikidata.org/entity/Q208134	Madura	4429000000.0	square metre
Q111989	207397	http://www.wikidata.org/entity/Q111989	Sal	216000000.0	square metre
Q292346	205425	http://www.wikidata.org/entity/Q292346	Isle of Noirmoutier	48700000.0	square metre
Q1233234	204447	http://www.wikidata.org/entity/Q1233234	Ortygia	1000000.0	square metre
Q1069922	204356	http://www.wikidata.org/entity/Q1069922	Ko Pha-ngan	125000000.0	square metre
Q875301	203147	http://www.wikidata.org/entity/Q875301	Itsukushima	30330000.0	square metre
Q827604	202788	http://www.wikidata.org/entity/Q827604	Tortola	55700000.0	square metre
Q649190	202464	http://www.wikidata.org/entity/Q649190	Enewetak Atoll	5850000.0	square metre
Q207323	202221	http://www.wikidata.org/entity/Q207323	Vulcano	21000000.0	square metre
Q1133295	200024	http://www.wikidata.org/entity/Q1133295	Ponza	7300000.0	square metre
Q1674067	199075	http://www.wikidata.org/entity/Q1674067	Isla Grande de Tierra del Fuego	47992000000.0	square metre
Q59771	199010	http://www.wikidata.org/entity/Q59771	New Britain	36520000000.0	square metre
Q244347	195221	http://www.wikidata.org/entity/Q244347	Gorée	182000.0	square metre
Q654405	195197	http://www.wikidata.org/entity/Q654405	Manitoulin Island	2766000000.0	square metre
Q212027	194656	http://www.wikidata.org/entity/Q212027	Skopelos	96000000.0	square metre
Q471793	193843	http://www.wikidata.org/entity/Q471793	Rarotonga	67100000.0	square metre
Q849441	193434	http://www.wikidata.org/entity/Q849441	Saint John	50800000.0	square metre
Q211377	193178	http://www.wikidata.org/entity/Q211377	Leyte	7368000000.0	square metre
Q429430	191882	http://www.wikidata.org/entity/Q429430	Symi	57865000.0	square metre
Q1535905	191818	http://www.wikidata.org/entity/Q1535905	Isla Holbox	55948000.0	square metre
Q1548344	191671	http://www.wikidata.org/entity/Q1548344	Tabarca	300000.0	square metre
Q202422	191386	http://www.wikidata.org/entity/Q202422	Salamis Island	95000000.0	square metre
Q209638	190322	http://www.wikidata.org/entity/Q209638	Yap	307949586.3189504	square metre
Q219642	188553	http://www.wikidata.org/entity/Q219642	Mahé	157300000.0	square metre
Q165401	188032	http://www.wikidata.org/entity/Q165401	Mainau	447584.0	square metre
Q4102692	187777	http://www.wikidata.org/entity/Q4102692	Valaam Island	298000000.0	square metre
Q922	187701	http://www.wikidata.org/entity/Q922	Brač	396000000.0	square metre
Q1970151	187544	http://www.wikidata.org/entity/Q1970151	Île d'Yeu	23320000.0	square metre
Q1020769	186826	http://www.wikidata.org/entity/Q1020769	Isla Mujeres	4218000.0	square metre
Q368275	186609	http://www.wikidata.org/entity/Q368275	Spetses	27120000.0	square metre
