foodLabel	Sweet_Mean	STD	Salty_Mean	STD	Sour_Mean	STD	Bitter_Mean	STD	Umami_Mean	STD	Fat_Mean	STD
tomato with salt	1.13	0.24	2.87	0.62	1.87	0.35	0.43	0.27	0.2	0.15	0.27	0.15
tomato with salt, olive oil and mozzarella	1	-	2.4	-	1.4	-	0.4	-	0	-	1.1	-
tomato with vinaigrette and mozzarella	2.15	0.65	3.8	0.2	3.3	0.4	0.75	0.05	0.65	0.25	2.3	0.4
tomato with vinaigrette	1.3	0.16	2.07	0.31	2.48	0.26	0.79	0.14	0.44	0.11	1.93	0.14
tomme de brebis cheese	0.48	0.39	3.46	0.24	0.14	0.14	1.08	0.36	0.74	0.26	3.24	0.56
tomme de vache cheese	0.63	0.16	3.63	0.15	0.53	0.2	1.23	0.3	0.84	0.11	3.29	0.21
toulouse sausage	0.21	0.14	3.8	0.4	1.6	0.11	1.01	0.11	1.97	0.27	3.19	0.3
tripe	1	-	2.4	-	0.3	-	0.2	-	0.6	-	2	-
fried trout 	0.15	0.11	2.73	0.41	1.5	0.25	0.96	0.15	1.23	0.26	1.6	0.33
 canned tuna with vinaigrette	0.38	0.18	2.47	0.33	1.13	0.24	0.71	0.2	0.91	0.12	1.58	0.41
turkey with gravy	0.53	0.19	2.6	0.26	1.42	0.15	0.93	0.18	1.28	0.29	2.72	0.26
roast turkey 	0.94	0.21	3.65	0.22	0.93	0.13	0.33	0.1	1.99	0.24	2.95	0.31
turkey ham	1.3	0.1	3.63	0.5	0.93	0.48	0.63	0.63	1.67	0.18	2.23	0.32
Vache-qui-rit cheese	0.68	0.18	2.89	0.22	0.83	0.26	0.29	0.19	0.64	0.14	3.33	0.08
vacherin cheese with bread	0.45	0.05	3	0.7	0.9	0.1	2.55	0.35	0.95	0.05	4.25	1.05
vanilla custard	3.56	0.35	0.11	0.08	0.36	0.14	0.24	0.1	0.33	0.13	2.11	0.34
vegetable gratin	0.8	0.26	1.77	0.27	0.93	0.38	0.97	0.19	0.13	0.03	1.1	0.06
vol-au-vent	0.25	0.15	2.58	0.17	1.6	0.53	0.78	0.09	1.68	0.28	2.13	0.23
waffle	2.7	-	0.5	-	0.5	-	0.6	-	0.8	-	1.9	-
waffle with Nutella spread	4.2	0.1	0	0	2.3	2.3	0	0	0	0	3.05	1.55
dry walnut	1.07	0.13	0.2	0.09	0.55	0.14	1.6	0.14	0.62	0.3	2.6	0.6
walnut bread	0.8	-	2.4	-	0.8	-	1.8	-	1	-	2.1	-
wheat Ebly	0.91	0.23	2.87	0.34	1.21	0.27	0.53	0.15	0.73	0.27	2.47	0.36
whisky	0.8	0.1	0.05	0.05	0.85	0.25	0.5	0.2	0.65	0.55	0.5	0.4
white bread	0.85	0.14	1.78	0.12	0.35	0.07	0.28	0.06	0.21	0.06	0.26	0.06
white bread with butter and honey	5.55	0.15	2.15	0.05	0.7	0.1	0.6	0	0.9	0	2.4	0.4
white bread with butter	1.44	0.17	2.18	0.31	1.02	0.12	0.64	0.18	0.6	0.17	2.68	0.79
white bread with jam	3.53	0.39	0.8	0.42	1.43	0.17	0.48	0.2	0.15	0.15	1.48	0.27
white bread with Nutella spread	4.78	0.57	0.5	0.41	0	0	0	0	0	0	4.68	0.33
white chocolate	5.37	0.32	0.03	0.03	0.47	0.37	0.37	0.37	0.13	0.13	5.83	0.03
white rice	1.3	0.22	0.22	0.11	0.2	0.13	0.28	0.16	0.18	0.09	1.08	0.59
white rice with curry sauce	0.8	0.36	2.66	0.43	0.38	0.16	0.44	0.19	1.2	0.34	1.74	0.59
white rice with salt and fat	0.54	0.11	3	0.15	0.34	0.09	0.22	0.08	0.64	0.12	2.23	0.18
white rice with salt	0.58	0.1	1.92	0.17	0.48	0.14	0.46	0.12	0.72	0.14	0.86	0.11
white rice with tomato sauce	0.89	0.22	1.94	0.27	0.89	0.22	0.36	0.12	0.66	0.14	1.44	0.18
white sandwich bread	1.3	-	1.7	-	0.5	-	0.3	-	0.3	-	0.3	-
white sandwich bread with Nutella spread	5.7	-	0.3	-	1.7	-	0.9	-	0	-	4	-
white sandwich bread with dairy fat	1.8	-	0	-	0	-	0	-	0	-	2.8	-
white sandwich bread with jam and dairy fat	4.2	0.5	0.85	0.85	1.1	0.5	0	0	0	0	4.05	2.35
white sandwich bread with jam	2.15	0.35	0.75	0.25	1.2	0.2	0.55	0.25	0.05	0.05	0.5	0.2
white sausage	1.27	0.28	3.1	0.26	0.47	0.03	0.6	0.23	0.57	0.3	3.07	0.86
grilled whiting 	0.5	0.22	2.74	0.4	2	0.59	0.78	0.22	1.98	0.32	1.88	0.41
steamed whiting 	0	0	2.45	0.25	1.6	0.1	0.75	0.05	1.8	0.1	1.6	0.4
whiting with sauce	0.05	0.05	2.2	0.1	0.8	0.3	0.6	0.2	1.25	0.45	1.65	0.45
wholegrain bread	0.94	0.12	2	0.14	0.56	0.1	0.63	0.2	0.51	0.14	0.71	0.15
wholegrain bread with butter	0.7	0.42	2.6	0.26	0.23	0.23	0.18	0.18	0.28	0.28	4.4	0.9
wholegrain bread with jam	4	-	1.7	-	1.9	-	1.1	-	0.4	-	2.3	-
whole wheat bread	0.68	0.37	1.78	0.24	0.4	0.08	0.3	0.23	0.1	0.08	0.36	0.14
whole wheat bread with butter	0.8	0.2	2.1	0.1	0.5	0	0.4	0	0.75	0.15	1.1	0
whole wheat bread with jam	4.4	-	0.1	-	0.8	-	1.6	-	0.1	-	0.2	-
whole wheat sandwich bread with Nutella spread	5.6	-	1.1	-	1.1	-	1.1	-	0	-	5.9	-
red wine 	0.65	0.11	0.05	0.01	2.7	0.33	0.91	0.13	0.11	0.03	0.2	0.04
rosé wine	1.64	0.26	0.03	0.01	2.35	0.23	0.57	0.14	0.12	0.04	0.06	0.02
white wine	1.11	0.11	0.09	0.03	2.55	0.22	0.83	0.1	0.21	0.04	0.14	0.04
flavoured yogurt	3.44	0.13	0.08	0.02	1.87	0.12	0.27	0.06	0.17	0.05	1.95	0.1
flavoured light yogurt with fruit	2.91	0.19	0.15	0.04	1.76	0.15	0.59	0.11	0.22	0.09	1.8	0.18
flavoured light yogurt with sugar	2.22	0.07	0.1	0.03	1.88	0.35	0.15	0.05	0.08	0.02	2.22	0.3
plain yogurt with jam	3.3	0.15	0.05	0.02	2.47	0.13	0.27	0.07	0.17	0.04	1.95	0.12
plain yogurt	0	0	0.03	0.03	4.13	0.15	0.46	0.17	0.21	0.09	1.37	0.24
flavoured light yogurt drink	3.82	0.31	0.03	0.02	1.65	0.32	0.5	0.3	0.03	0.02	1.98	0.29
zander	0	-	2.5	-	0.5	-	0.1	-	0.9	-	1.8	-
zucchini	0.98	0.21	2.7	0.18	0.98	0.18	0.91	0.13	0.96	0.19	1.39	0.21
