foodLabel	Sweet_Mean	STD	Salty_Mean	STD	Sour_Mean	STD	Bitter_Mean	STD	Umami_Mean	STD	Fat_Mean	STD
croissant	2.09	0.18	0.28	0.08	0.32	0.16	0.22	0.09	0.11	0.05	2.9	0.44
cucumber with vinaigrette	0.55	0.08	2.35	0.24	1.57	0.16	1.27	0.13	0.53	0.1	1.3	0.15
custard	2.88	0.12	0	0	0.46	0.17	0.22	0.16	1.16	0.32	1.54	0.09
custard tart	3.48	0.36	0.05	0.05	1.55	0.52	0.48	0.19	0.28	0.16	2.35	0.64
dandelions with vinaigrette	0.05	0.05	1.85	0.35	1.9	0.3	2.4	0.7	0.5	0.4	2.05	0.85
dark chocolate	2.78	0.38	0.09	0.04	1.08	0.16	3.47	0.27	0.12	0.04	3.16	0.31
dried date	4.23	0.7	0	0	0.7	0.36	0.4	0.23	1.23	0.62	1.87	0.52
donut	4.47	0.68	0.2	0.14	0.03	0.02	0.02	0.02	0.17	0.11	4.67	0.63
dry bean	0.55	0.14	2.84	0.21	1.51	0.18	0.86	0.14	1.29	0.17	2.12	0.14
dry goat cheese	0.36	0.09	2.97	0.21	1.74	0.24	1.3	0.13	0.89	0.12	2.76	0.27
dry sausage	0.41	0.12	4.1	0.19	0.73	0.14	0.37	0.09	1.59	0.15	3.52	0.2
dry-cured ham	0.35	0.08	3.7	0.23	1.39	0.12	0.72	0.08	1.5	0.13	2.53	0.22
roast duck	0.58	0.12	3.03	0.27	0.68	0.11	0.51	0.11	1.54	0.21	2.95	0.26
duck confit	1.5	-	3	-	0.9	-	1	-	1.1	-	3.1	-
foie gras	0.44	0.14	2.81	0.15	1.23	0.25	1.09	0.13	1.23	0.24	4.76	0.66
dumpling	0.77	0.31	3.34	0.35	0.83	0.33	0.53	0.21	1.51	0.28	2.99	0.43
edam cheese	0.75	0.75	3	0.1	0	0	0	0	0.35	0.35	1.6	0.3
egg custard	3.52	0.24	0.08	0.08	1.1	0.23	0.86	0.13	0.8	0.27	1.9	0.36
eggplant	1.1	0.35	2.43	0.62	0.67	0.57	0.97	0.12	0.73	0.45	2.1	0.55
emmental cheese	0.49	0.08	2.43	0.2	0.79	0.2	0.53	0.18	0.43	0.19	2.21	0.22
emmental cheese with bread	0.15	0.15	0.85	0.05	1.85	0.65	1.45	0.25	0	0	1.15	0.05
braised endive 	0.9	0.1	3.7	0.3	2.75	0.15	3.35	0.05	1.25	0.05	2.35	0.05
cooked endive with sauce	0.15	0.12	2.6	0.09	0.93	0.21	2.1	0.17	0.98	0.39	1.48	0.13
endive salad	0.57	0.19	2.34	0.24	2.03	0.37	2.05	0.2	0.47	0.15	1.89	0.36
endives with ham	0.52	0.19	2.76	0.2	1.66	0.27	2.09	0.29	1.34	0.14	1.92	0.16
epoisses cheese	0.28	0.19	4.03	0.23	0.4	0.24	2	0.53	1.15	0.45	5	0.32
ewe cheese	0	0	3.37	0.33	1.47	0.19	1.97	0.5	1.57	0.23	3.53	0.48
expresso coffee	0	0	0.2	0	0.4	0.3	4	0.9	0.05	0.05	0.05	0.05
extruded salty crackers	0.42	0.19	4.26	0.38	0.28	0.12	0.24	0.12	0.64	0.28	2.24	0.41
fava beans	1	0	3.55	0.15	2.6	0	1.6	0.2	1.75	0.15	2.45	0.05
sautéed fennel 	0.55	0.05	3.2	0.3	0.4	0.4	0.4	0	0.6	0.1	1.2	0.2
dried fig	2.98	0.29	0.02	0.02	0.53	0.2	0.63	0.14	0.5	0.16	1.5	0.88
fig	2.67	0.23	0.13	0.09	1.23	0.18	0.63	0.35	0.7	0.15	2	0.35
fish and seafood terrines	0.64	0.27	3.29	0.54	1.5	0.35	1.21	0.29	2.23	0.63	2.24	0.21
Flamby custard	3.48	0.29	0.03	0.02	0.3	0.13	0.16	0.13	0.06	0.04	1.41	0.19
flavoured sparkling water 	3.05	0.78	0.2	0.07	1.13	0.4	0.68	0.24	0.33	0.24	0.23	0.23
flavoured water with lemon juice	0	0	0	0	5.4	0.63	1.08	0.19	0	0	0	0
iles flottantes	4.2	0.23	0.28	0.12	0.53	0.13	0.26	0.08	0.51	0.15	1.88	0.31
fortified wines	2.74	0.52	0.11	0.04	1.3	0.31	1.06	0.15	0.09	0.04	0.24	0.15
fourme d'ambert cheese	0.8	-	2.6	-	1.6	-	2.9	-	1.5	-	2.3	-
frankfurter and knack with mustard	0	-	3	-	6.4	-	0	-	0.4	-	2.8	-
frankfurter and knack	0.67	0.26	3.27	0.38	0.96	0.2	0.61	0.19	1.84	0.32	2.83	0.45
fresh goat cheese	0.34	0.09	2.76	0.24	1.7	0.26	0.85	0.17	0.68	0.13	2.65	0.27
fresh goat cheese with bread	0.63	0.05	3.95	0.49	1.9	0.43	1.58	0.28	1.3	0.2	3.13	0.39
fried eggs	0.52	0.16	2.37	0.27	0.46	0.11	0.29	0.07	0.77	0.12	1.56	0.2
frisée salad with vinaigrette	0.23	0.06	1.94	0.22	1.53	0.15	1.28	0.2	0.55	0.11	1.57	0.12
frogs with sauce	0.7	0.7	2.5	0.1	1.15	0.55	0.6	0.4	1.45	0.25	2.3	0.6
fruit cake	4.4	-	1.3	-	0.3	-	0.2	-	0.7	-	0.8	-
fruit candy	5.5	0.2	0.05	0.05	2.35	0.55	0.45	0.25	0.05	0.05	0.5	0.4
fruit charlotte	3.75	0.55	0	0	2	0.1	0	0	0	0	1.3	0.5
fruit crumble	3.92	0.52	0.52	0.11	2.36	0.57	0.46	0.19	0.18	0.16	2.22	0.59
fruit soda	4.56	0.69	0.11	0.08	2.13	0.42	1.39	0.51	0.06	0.06	0.39	0.28
fruit sorbet 	3.11	0.27	0.03	0.01	1.15	0.36	0.35	0.14	0.16	0.09	0.3	0.11
