artist - title	wond	tran	tend	nost	peac	joya	ener	sadn	tens
Pitbull - Better On Me	6.399509804	5.49754902	12.27083333	8.268382353	17.27132353	26.6747549	11.06470588	1.801470588	9.377941176
Puff Daddy - I'll Be Missing You	22.24702381	12.95833333	14.51904762	28.7797619	13.12916667	19.47619048	5.807142857	12.14880952	3.634821429
Rihanna - Umbrella	21.24425287	7.081896552	7.406896552	21.15086207	7.09137931	27.7387931	10.24195402	3.706896552	5.687931034
Rihanna - Work	8.024774775	1.198198198	5.697297297	4.239864865	7.228378378	21.1509009	9.813513514	0.0	8.242567568
Robin Schulz - Sugar	10.90802469	4.885802469	6.274074074	8.663580247	14.23981481	32.12654321	24.05617284	0.0	5.3
Ryan Adams - Lucky Now	14.44252874	9.07183908	17.12931034	13.75	30.12241379	16.11637931	4.262068966	3.41954023	9.062068966
Sam Smith - Lay Me Down	16.42333333	16.07333333	26.74633333	25.54833333	26.85466667	2.586666667	0.0	25.79	0.0
Shakira - Hips Don't Lie	18.90384615	4.105769231	8.788461538	13.53365385	13.17692308	43.73141026	22.17211538	0.0	4.592307692
Shakira - Underneath your clothes	8.192028986	3.985507246	16.77826087	18.18478261	20.92246377	11.46014493	1.460869565	3.710144928	1.226086957
Spice Girls - Wannabe	13.52272727	1.100378788	3.490909091	13.71306818	15.06022727	47.85833333	24.13522727	0.0	5.611363636
Steely Dan - Do It Again	10.26736111	4.083333333	6.05	10.05729167	10.49791667	21.984375	10.38541667	0.0	3.1125
Stevie Wonder - I Wish	15.16666667	1.053763441	4.083870968	9.415322581	8.458064516	40.20053763	13.7516129	1.655913978	1.548387097
Sugababes - Push The Button	27.57575758	9.272727273	7.527272727	15.56818182	7.2	36.60606061	25.47272727	4.606060606	10.55909091
Tal Bachman - Shes So High	19.39814815	3.861111111	7.741666667	18.14351852	7.579166667	29.89699074	8.706944444	2.363425926	0.866666667
Tame Impala - The Less I Know The Better	14.54166667	5.1015625	12.06354167	19.30078125	25.56171875	17.71041667	6.0453125	1.9140625	3.25
Taylor Swift - Look What You Made Me Do	9.142857143	7.335714286	6.617142857	3.035714286	3.6	24.63071429	23.02857143	0.0	9.758571429
Theo Katzman - Hard Work	23.17	4.946666667	4.1	5.131666667	14.416	32.81166667	14.065	0.0	6.854
Tracy Chapman - Fast Car	14.64247312	12.49193548	21.2327957	30.15725806	32.58736559	12.65591398	2.187096774	5.370967742	2.260752688
Vanessa Carlton - A Thousand Miles	26.49137931	4.304597701	13.86494253	27.53591954	13.57586207	32.85201149	5.917241379	2.92816092	4.32183908
The Weeknd - Starboy	21.35555556	11.14166667	12.89333333	10.575	14.745	24.64777778	10.27333333	4.355555556	10.23444444
Whitney Houston - I Wanna Dance With Somebody	23.94722222	7.15	10.10833333	25.57083333	14.98	51.0425	28.60638889	2.377777778	0.94
Wrabel - The Village	19.16666667	13.77898551	18.16086957	14.19384058	20.88333333	11.77898551	5.8	16.85507246	3.626086957
Zara Larsson - Lush Life	17.47083333	2.566666667	0.45	12.4375	7.65	33.95416667	12.67	0.0	3.57
